instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
ball_mk2_10.lp,min,0.0,0.0,tie,0,0,300.008267,300.006939
ball_mk2_30.lp,min,0.0,0.0,tie,0,0,300.017152,300.009711
ball_mk3_10.lp,,,,neither feasible,0,0,300.012454,300.009025
ball_mk3_20.lp,,,,neither feasible,0,0,300.014114,300.010356
ball_mk3_30.lp,,,,neither feasible,0,0,300.029067,300.016019
ball_mk4_05.lp,,,,neither feasible,0,0,300.007786,300.011845
ball_mk4_10.lp,,,,neither feasible,0,0,300.060047,300.052383
ball_mk4_15.lp,,,,neither feasible,0,0,300.029175,300.018985
chimera_k64ising-01.lp,max,18.0,12.1,new win,0,0,300.217727,300.387422
chimera_k64maxcut-01.lp,max,17.9,13.8,new win,0,0,300.183133,300.127537
chimera_k64maxcut-02.lp,max,17.0,15.7,new win,0,0,300.205162,300.122867
chimera_lga-01.lp,max,135.7,129.3,new win,0,0,300.030139,300.366193
chimera_lga-02.lp,max,127.6,126.0,new win,0,0,300.026052,300.103891
chimera_mgw-c16-2031-01.lp,max,2002.0,2001.0,new win,0,0,300.215086,301.637569
chimera_mgw-c16-2031-02.lp,max,2002.0,2001.0,new win,0,0,300.201578,300.124851
chimera_mgw-c8-439-onc8-001.lp,max,405.0,405.0,tie,0,0,300.129466,300.413232
chimera_mgw-c8-439-onc8-002.lp,max,396.0,396.0,tie,0,0,300.077882,300.4008
chimera_mgw-c8-507-onc8-01.lp,max,493.0,493.0,tie,0,0,300.104713,300.377825
chimera_mgw-c8-507-onc8-02.lp,max,495.0,495.0,tie,0,0,300.082141,300.145844
chimera_mis-01.lp,max,386.2,383.8,new win,0,0,300.393925,300.429481
chimera_mis-02.lp,max,396.0,395.2,new win,0,0,300.40006,301.812677
chimera_rfr-01.lp,max,1191.3,1187.9,new win,0,0,300.492619,300.71094
chimera_rfr-02.lp,max,1163.1,1162.7,new win,0,0,300.0909,300.086676
chimera_selby-c16-01.lp,max,728.2,723.4,new win,0,0,300.303729,300.38367
chimera_selby-c16-02.lp,max,718.1,718.9,new loss,0,0,300.465572,300.318045
chimera_selby-c8-onc8-01.lp,max,176.1,177.3,new loss,0,0,300.114228,300.05837
chimera_selby-c8-onc8-02.lp,max,167.8,167.6,new win,0,0,300.084785,300.061456
crossdock_15x8.lp,min,16192.0,16192.0,tie,0,0,300.026389,300.024348
graphpart_2g-0044-1601.lp,min,-919798.0,-919798.0,tie,0,0,300.011693,300.013542
graphpart_2g-0055-0062.lp,min,-1389815.0,-1389815.0,tie,0,0,300.011195,300.012796
graphpart_2g-0066-0066.lp,min,-2809020.0,-2809020.0,tie,0,0,300.013599,300.015027
graphpart_2g-0077-0077.lp,min,-3215899.0,-3215899.0,tie,0,0,300.018701,300.02485
graphpart_2g-0088-0088.lp,min,-5935341.0,-5935341.0,tie,0,0,300.024958,300.027172
graphpart_2g-0099-9211.lp,min,-5070020.0,-5070020.0,tie,0,0,300.021177,300.018488
graphpart_2g-1010-0824.lp,min,-6983053.0,-6983053.0,tie,0,0,300.060494,300.021737
graphpart_2pm-0044-0044.lp,min,-10.0,-10.0,tie,0,0,300.018155,300.013339
graphpart_2pm-0055-0055.lp,min,-20.0,-20.0,tie,0,0,300.013814,300.017768
