instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
ball_mk2_10.lp,min,0.0,0.0,tie,0,0,60.011132,60.01027
ball_mk2_30.lp,min,0.0,0.0,tie,0,0,60.018625,60.016977
ball_mk3_10.lp,,,,neither feasible,0,0,60.011862,60.007684
ball_mk3_20.lp,,,,neither feasible,0,0,60.015211,60.009657
ball_mk3_30.lp,,,,neither feasible,0,0,60.012457,60.016213
ball_mk4_05.lp,,,,neither feasible,0,0,60.013155,60.008457
ball_mk4_10.lp,,,,neither feasible,0,0,60.053594,60.059319
ball_mk4_15.lp,,,,neither feasible,0,0,60.03155,60.010799
chimera_k64ising-01.lp,max,17.8,12.1,new win,0,0,60.265312,60.076834
chimera_k64maxcut-01.lp,max,14.7,13.8,new win,0,0,60.180701,60.195447
chimera_k64maxcut-02.lp,max,16.8,12.1,new win,0,0,60.147153,60.230847
chimera_lga-01.lp,max,135.6,128.2,new win,0,0,60.169189,60.652287
chimera_lga-02.lp,max,127.4,125.4,new win,0,0,60.314713,60.15091
chimera_mgw-c16-2031-01.lp,max,2000.0,1983.0,new win,0,0,60.542944,61.310078
chimera_mgw-c16-2031-02.lp,max,1996.0,1994.0,new win,0,0,60.119712,60.655947
chimera_mgw-c8-439-onc8-001.lp,max,405.0,405.0,tie,0,0,60.086032,60.444849
chimera_mgw-c8-439-onc8-002.lp,max,396.0,396.0,tie,0,0,60.069509,60.439678
chimera_mgw-c8-507-onc8-01.lp,max,493.0,493.0,tie,0,0,60.124765,60.339394
chimera_mgw-c8-507-onc8-02.lp,max,495.0,495.0,tie,0,0,60.117528,60.357428
chimera_mis-01.lp,max,385.0,383.8,new win,0,0,60.251245,61.608075
chimera_mis-02.lp,max,394.0,394.0,tie,0,0,60.071038,61.581002
chimera_rfr-01.lp,max,1183.1,1180.2,new win,0,0,60.280642,61.149393
chimera_rfr-02.lp,max,1155.4,1152.7,new win,0,0,60.561298,61.339154
chimera_selby-c16-01.lp,max,717.6,721.6,new loss,0,0,60.041782,60.417223
chimera_selby-c16-02.lp,max,714.1,706.5,new win,0,0,60.272181,60.088982
chimera_selby-c8-onc8-01.lp,max,176.0,176.5,new loss,0,0,60.09459,60.056889
chimera_selby-c8-onc8-02.lp,max,167.6,166.2,new win,0,0,60.087722,60.093499
crossdock_15x8.lp,min,16351.0,16351.0,tie,0,0,60.020511,60.020545
graphpart_2g-0044-1601.lp,min,-919798.0,-919798.0,tie,0,0,60.013576,60.011143
graphpart_2g-0055-0062.lp,min,-1389815.0,-1389815.0,tie,0,0,60.015634,60.017861
graphpart_2g-0066-0066.lp,min,-2775376.0,-2775376.0,tie,0,0,60.022126,60.010942
graphpart_2g-0077-0077.lp,min,-2950494.0,-2950494.0,tie,0,0,60.013591,60.033165
graphpart_2g-0088-0088.lp,min,-5935341.0,-5935341.0,tie,0,0,60.044354,60.025004
