instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
QPLIB_3587.lp,min,16725.0,16725.0,tie,0,0,60.02347,60.025111
QPLIB_3650.lp,max,918.0,920.0,new loss,0,0,60.081764,60.050558
chimera_selby-c8-onc8-01.lp,max,176.5,176.5,tie,0,0,60.077547,60.085728
chimera_selby-c16-02.lp,max,711.0,710.1,new win,0,0,60.594384,60.47979
QPLIB_5755.lp,max,24177218.0,24046773.0,new win,0,0,60.028809,60.074772
chimera_k64ising-01.lp,max,12.1,12.1,tie,0,0,60.044284,60.028661
QPLIB_3850.lp,max,1194.0,1194.0,tie,0,0,60.260579,60.161384
QPLIB_3693.lp,max,1148.0,1148.0,tie,0,0,60.043212,60.298701
chimera_lga-02.lp,max,125.6,125.6,tie,0,0,60.418652,60.171632
QPLIB_9048.lp,min,-1.165682,-1.165682,tie,0,0,60.498769,60.142771
