cutoff,instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
10,graphpart_2g-0077-0077.lp,min,-2831099.0,-2831099.0,tie,0,0,10.015115,10.019671
10,graphpart_2g-0088-0088.lp,min,-5908169.0,-5908169.0,tie,0,0,10.012583,10.038909
10,graphpart_2g-0099-9211.lp,min,-5018798.0,-5018798.0,tie,0,0,10.039704,10.016382
10,graphpart_2g-1010-0824.lp,min,-6960353.0,-6960353.0,tie,0,0,10.021454,10.038291
10,graphpart_2pm-0044-0044.lp,min,-10.0,-10.0,tie,0,0,10.010743,10.014861
10,graphpart_2pm-0055-0055.lp,min,-20.0,-20.0,tie,0,0,10.021892,10.017795
10,graphpart_2pm-0066-0066.lp,min,-29.0,-29.0,tie,0,0,10.007761,10.014825
10,graphpart_2pm-0077-0777.lp,min,-38.0,-38.0,tie,0,0,10.008238,10.018797
10,graphpart_2pm-0088-0888.lp,min,-54.0,-54.0,tie,0,0,10.018301,10.030209
10,graphpart_2pm-0099-0999.lp,min,-62.0,-62.0,tie,0,0,10.035444,10.044609
10,graphpart_3g-0234-0234.lp,min,-1804334.0,-1804334.0,tie,0,0,10.00867,10.01625
10,graphpart_3g-0244-0244.lp,min,-2540313.0,-2540313.0,tie,0,0,10.01744,10.020953
10,graphpart_3g-0333-0333.lp,min,-1754342.0,-1754342.0,tie,0,0,10.014704,10.016158
10,graphpart_3g-0334-0334.lp,min,-2768659.0,-2768659.0,tie,0,0,10.025253,10.021348
10,graphpart_3g-0344-0344.lp,min,-4963154.0,-4963154.0,tie,0,0,10.024134,10.011993
10,graphpart_3g-0444-0444.lp,min,-7603756.0,-7603756.0,tie,0,0,10.058138,10.039625
10,graphpart_3pm-0234-0234.lp,min,-20.0,-20.0,tie,0,0,10.017971,10.007526
10,graphpart_3pm-0244-0244.lp,min,-28.0,-28.0,tie,0,0,10.017529,10.015588
10,graphpart_3pm-0333-0333.lp,min,-26.0,-26.0,tie,0,0,10.015357,10.012712
10,graphpart_3pm-0334-0334.lp,min,-36.0,-36.0,tie,0,0,10.030972,10.024457
10,graphpart_3pm-0344-0344.lp,min,-48.0,-48.0,tie,0,0,10.038384,10.022485
10,nvs03.lp,min,64.0,64.0,tie,0,0,10.008692,10.006551
10,nvs10.lp,min,-310.8,-310.8,tie,0,0,10.011553,10.007129
10,nvs11.lp,min,-431.0,-431.0,tie,0,0,10.009653,10.012352
10,nvs12.lp,min,-481.2,-481.2,tie,0,0,10.015105,10.016595
10,nvs13.lp,min,-585.2,-585.2,tie,0,0,10.007429,10.010726
