instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
crossdock_15x8.lp,min,16525.0,16351.0,new loss,0,0,10.024708,10.019228
st_test1.lp,min,0.0,0.0,tie,0,0,10.012231,10.009978
QPLIB_3838.lp,max,740.0,740.0,tie,0,0,10.101193,10.020147
chimera_lga-02.lp,max,121.5,123.9,new loss,0,0,10.483104,10.63532
st_test4.lp,min,-7.0,-7.0,tie,0,0,10.017982,10.012065
nvs23.lp,min,-1125.2,-1125.2,tie,0,0,10.012646,10.009145
graphpart_2g-0055-0062.lp,min,-1054460.0,-1116960.0,new loss,0,0,10.016382,10.012669
QPLIB_5980.lp,max,589.0,589.0,tie,0,0,14.692423,12.061492
chimera_selby-c8-onc8-02.lp,max,166.9,166.0,new win,0,0,10.103772,10.075785
QPLIB_3850.lp,max,1188.0,1186.0,new win,0,0,10.284232,10.053148
QPLIB_3738.lp,max,420.0,420.0,tie,0,0,10.113282,10.016647
QPLIB_3883.lp,min,-765.0,-765.0,tie,0,0,10.230262,10.095568
QPLIB_2957.lp,min,3666.0,3666.0,tie,0,0,11.75901,11.906591
QPLIB_6487.lp,min,345016.0,345016.0,tie,0,0,10.662377,12.533805
QPLIB_10042.lp,min,-20.881926,-20.881926,tie,0,0,10.293021,10.568246
chimera_mgw-c8-507-onc8-02.lp,max,494.0,494.0,tie,0,0,10.352431,10.325451
QPLIB_10063.lp,min,-42.515972,-42.515972,tie,0,0,10.294793,10.47461
graphpart_2pm-0055-0055.lp,min,-20.0,-20.0,tie,0,0,10.018251,10.011772
QPLIB_2073.lp,min,7745280.0,7745280.0,tie,0,0,10.821227,10.523371
QPLIB_7154.lp,min,1174.0,1159.0,new loss,0,0,10.214267,10.143048
chimera_k64ising-01.lp,max,12.3,12.0,new win,0,0,10.234723,10.083591
QPLIB_10041.lp,min,0.0,0.0,tie,0,0,10.25786,10.276506
st_test8.lp,min,-29605.0,-29605.0,tie,0,0,10.023831,10.014048
pb351535.lp,min,5115148.0,5115148.0,tie,0,0,11.905,11.32838
graphpart_2pm-0099-0999.lp,min,-62.0,-62.0,tie,0,0,10.050584,10.028029
chimera_selby-c16-01.lp,max,698.1,710.1,new loss,0,0,10.105673,10.284256
graphpart_2g-1010-0824.lp,min,-6960353.0,-6960353.0,tie,0,0,10.02216,10.045914
QPLIB_10070.lp,min,-25.258817,-25.258817,tie,0,0,10.428105,11.040926
QPLIB_3347.lp,min,4015793.0,4015793.0,tie,0,0,12.659265,12.268983
ball_mk3_30.lp,,,,neither feasible,0,0,10.01279,10.008722
graphpart_2pm-0077-0777.lp,min,-38.0,-38.0,tie,0,0,10.014049,10.01763
nvs15.lp,min,,1.0,old only feasible,136,0,0.243673,10.007298
QPLIB_3923.lp,min,91.325,91.325,tie,0,0,10.160664,10.03685
QPLIB_3706.lp,max,678.0,680.0,new loss,0,0,10.149014,10.03103
QPLIB_1976.lp,min,-9594.0,-9594.0,tie,0,0,10.038014,10.043278
QPLIB_3822.lp,max,842.0,846.0,new loss,0,0,10.215486,10.106769
graphpart_3g-0244-0244.lp,min,-2540313.0,-2540313.0,tie,0,0,10.016708,10.017298
chimera_mgw-c8-439-onc8-001.lp,max,405.0,403.0,new win,0,0,10.078993,10.131019
graphpart_3pm-0244-0244.lp,min,-28.0,-28.0,tie,0,0,10.027386,10.020501
graphpart_2g-0066-0066.lp,min,-2560722.0,-2560722.0,tie,0,0,10.011778,10.00921
QPLIB_3565.lp,max,282.0,282.0,tie,0,0,10.063267,10.049278
QPLIB_10055.lp,min,-1.258548,-1.258548,tie,0,0,10.840045,10.247814
QPLIB_9030.lp,min,540018.0,526240.0,new loss,0,0,18.603882,14.569774
QPLIB_10068.lp,min,-31.624223,-31.624223,tie,0,0,10.714869,11.516625
ball_mk4_15.lp,,,,neither feasible,0,0,10.087154,10.075683
graphpart_2pm-0088-0888.lp,min,-54.0,-54.0,tie,0,0,10.011864,10.011921
QPLIB_10050.lp,min,-25.697662,-25.697662,tie,0,0,10.708721,10.168926
QPLIB_10064.lp,min,0.0,0.0,tie,0,0,10.816638,10.698595
QPLIB_3757.lp,min,-511.0,-511.0,tie,0,0,11.041695,10.139657
pb351555.lp,min,4888133.0,4888133.0,tie,0,0,13.124746,13.069265
