subset,instances,mode16_vs_baseline_win,mode16_vs_baseline_tie,mode16_vs_baseline_loss,mode16_vs_mode15_win,mode16_vs_mode15_tie,mode16_vs_mode15_loss,mode16_feasible_or_obj,baseline_feasible_or_obj,mode15_feasible_or_obj,pair_attempt_sum,pair_checked_sum,pair_executed_sum,pair_improved_best_sum,pair_time_spent_sum,cache_mismatch16_sum,mode15_cache_mismatch_sum
all,221,26,191,4,24,191,6,215,215,215,399484,600197635,90019,1077,310.20550000000003,0,0
qubo_cache_active,42,24,16,2,21,17,4,42,42,42,399484,600197635,90019,1077,310.20550000000003,0,0
chimera,19,15,2,2,13,3,3,19,19,19,108452,256587402,45188,532,119.11144999999999,0,0
chimera_qubo_cache_active,19,15,2,2,13,3,3,19,19,19,108452,256587402,45188,532,119.11144999999999,0,0
