cutoff,tabu,block_flag,mode_name,block_size,run_count,feasible_count,avg_best_obj,avg_repair_success_total,avg_obj_improve_executed_total,avg_violation_improve_executed_total,avg_executed_total,avg_candidates_total,avg_wall_time
10,0,1,old_block,2,150,150,42876616.60933334,20806.766666666666,5024.926666666666,20806.766666666666,50451.68666666667,351048.62666666665,9.554192770413334
10,1,1,smart_only,4,150,150,-68358.05866666668,3370.1,1681.44,3370.1,5902.96,628428.5666666667,10.252733560660001
10,0,1,smart_only,2,150,150,42876536.188,15536.766666666666,10777.68,15536.766666666666,33063.21333333333,464320.79333333333,9.573612914
10,1,1,smart_only,2,150,150,-68438.23466666666,15290.1,10772.48,15290.1,33367.753333333334,461288.17333333334,10.221223138286668
10,1,1,improve_only,2,150,120,-85399.46250000004,0.0,0.0,0.0,0.0,1.52,10.23267068605333
10,0,1,smart_only,3,150,150,42876477.97866667,7073.433333333333,5111.233333333334,7073.433333333333,13384.473333333333,597002.84,9.562702913813338
10,0,0,baseline,2,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0
10,1,1,repair_only,3,150,150,-68357.806,11726.766666666666,4661.913333333333,11726.766666666666,17525.78,550766.3866666667,10.228961221313332
10,0,0,baseline,0,142,117,54970026.33846154,0.0,0.0,0.0,0.0,0.0,10.263306985873237
10,1,1,full_block,2,150,150,-68438.28266666667,15236.766666666666,10315.72,15236.766666666666,32540.126666666667,449035.48,10.208455896353335
10,0,1,full_block,2,150,150,42876536.22200001,15813.433333333332,10423.24,15813.433333333332,32742.106666666667,456796.55333333334,9.375707113199997
10,0,1,full_block,3,150,150,42876477.91333335,7180.1,4926.7,7180.1,13268.113333333333,585571.9333333333,9.349354469166666
10,0,1,old_block,3,150,150,42876618.11800001,11733.433333333332,6739.54,11733.433333333332,26001.82,499472.4866666667,9.572304944859999
10,1,1,old_block,3,150,150,-68321.61333333336,11483.433333333332,9772.613333333333,11483.433333333332,26183.273333333334,494800.1533333333,10.23144001722666
10,1,1,smart_only,3,150,150,-68357.734,6926.766666666666,4898.886666666666,6926.766666666666,13012.16,591442.9133333333,10.253364612193336
10,1,1,full_block,3,150,150,-68357.72600000001,6963.433333333333,4672.673333333333,6963.433333333333,12769.14,577175.22,10.250336502966663
10,1,0,baseline,0,150,120,-85399.58333333331,0.0,0.0,0.0,0.0,0.0,10.205428986440001
10,1,1,old_block,2,150,150,-68322.93533333333,20416.766666666666,8162.133333333333,20416.766666666666,48184.85333333333,349555.74,10.232549756253336
10,0,1,improve_only,4,150,120,53595775.604166664,0.0,0.0,0.0,0.0,9.333333333333334,10.230389299033334
10,0,1,repair_only,4,150,150,42876581.93733334,6223.433333333333,1642.3333333333333,6223.433333333333,8504.74,597776.8133333334,9.907132234893327
10,1,1,normalized_only,3,150,150,-68321.61,11673.433333333332,9457.38,11673.433333333332,25965.5,487629.49333333335,10.227314858560005
10,1,1,improve_only,4,150,120,-85399.42749999996,0.0,0.0,0.0,0.0,10.64,10.232195636019998
10,0,1,improve_only,2,150,120,53595775.5675,0.0,0.0,0.0,0.0,1.3333333333333333,9.90077047348
10,0,1,normalized_only,3,150,150,42876618.12333333,11653.433333333332,6461.393333333333,11653.433333333332,25348.446666666667,486967.26,10.227915425006668
10,0,1,repair_only,3,150,150,42876477.978666656,12046.766666666666,4877.76,12046.766666666666,18078.533333333333,553289.8866666667,9.37111411034
10,1,1,improve_only,3,150,120,-85399.50583333333,0.0,0.0,0.0,0.0,4.56,10.224950719059997
10,0,1,full_block,4,150,150,42876581.974666655,3470.1,1644.3933333333334,3470.1,5747.893333333333,617962.38,9.923620595633336
10,1,1,old_block,4,150,150,-68323.07133333336,7653.433333333333,5686.22,7653.433333333333,16766.94,545872.3133333334,10.223301609939993
10,0,1,normalized_only,2,150,150,42876616.64933333,20476.766666666666,4901.593333333333,20476.766666666666,49225.02,343125.7,10.232515187506666
10,0,1,smart_only,4,150,150,42876581.976666674,3386.766666666667,1714.2866666666666,3386.766666666667,5766.033333333334,627918.7533333333,10.232595518526667
10,1,1,normalized_only,4,150,150,-68323.06000000001,7643.433333333333,5497.513333333333,7643.433333333333,16371.486666666666,531943.8866666667,10.22029625492
10,1,1,repair_only,2,150,150,-68438.16,22086.766666666666,10344.213333333333,22086.766666666666,39472.21333333333,417463.8466666667,10.258686131466673
10,0,1,normalized_only,4,150,150,42876618.40266666,7676.766666666666,4559.66,7676.766666666666,16380.606666666667,530588.0466666666,10.248414793013334
10,1,1,repair_only,4,150,150,-68358.11333333333,6133.433333333333,1609.0733333333333,6133.433333333333,8559.086666666666,595401.5,10.231785808679998
10,0,1,repair_only,2,150,150,42876536.16333335,22930.1,10428.24,22930.1,39835.44,422487.74,9.362359687953335
10,1,1,normalized_only,2,150,150,-68322.95733333335,20523.433333333334,8078.8,20523.433333333334,47781.52,345843.88,10.21662608539333
10,1,1,full_block,4,150,150,-68358.14933333335,3360.1,1592.0266666666666,3360.1,5759.666666666667,609412.12,10.23741199394667
10,0,1,old_block,4,150,150,42876618.385333344,7636.766666666666,4720.32,7636.766666666666,16629.493333333332,539716.3,10.251646265760002
10,0,1,improve_only,3,150,120,53595775.6775,0.0,0.0,0.0,0.0,4.0,10.117077454779997
