instance,cutoff,tabu,seed,baseline_feasible,block_feasible,baseline_obj,block_obj,outcome,relative_gap
crossdock_15x8.lp,10,1,11,1,1,17027.0,17027.0,tie,0.0
chimera_k64ising-01.lp,10,1,9,1,1,9.7,9.7,tie,0.0
chimera_lga-02.lp,10,1,8,1,1,121.5,121.5,tie,0.0
crossdock_15x8.lp,10,0,9,1,1,2147483647.0,2147483647.0,tie,0.0
chimera_rfr-02.lp,10,1,10,1,1,1120.4,1120.4,tie,0.0
chimera_k64maxcut-02.lp,10,0,9,1,1,9.3,9.3,tie,0.0
chimera_mgw-c16-2031-01.lp,10,0,12,1,1,1956.0,1956.0,tie,0.0
chimera_selby-c16-01.lp,10,1,9,1,1,707.3,707.3,tie,0.0
chimera_k64maxcut-02.lp,10,1,9,1,1,9.3,9.3,tie,0.0
graphpart_2g-0055-0062.lp,10,0,9,1,1,-1237162.0,-1237162.0,tie,0.0
chimera_mis-01.lp,10,0,11,1,1,381.2,381.8,win,0.0015739769150053063
ball_mk4_10.lp,10,0,11,0,1,,-1609.0,win,0
ball_mk2_10.lp,10,0,10,1,1,0.0,0.0,tie,0
chimera_rfr-01.lp,10,1,9,1,1,1148.9,1149.2,win,0.0002611193315344717
chimera_mis-02.lp,10,0,12,1,1,392.8,392.8,tie,0.0
ball_mk3_30.lp,10,0,11,0,1,,-2.0,win,0
ball_mk3_20.lp,10,1,10,0,1,,-5.0,win,0
chimera_rfr-01.lp,10,0,12,1,1,1166.1,1162.3,loss,-0.003258725666752384
ball_mk3_30.lp,10,0,9,0,1,,-2.0,win,0
chimera_k64maxcut-01.lp,10,1,11,1,1,7.9,7.9,tie,0.0
chimera_rfr-02.lp,10,1,12,1,1,1122.2,1122.2,tie,0.0
ball_mk4_05.lp,10,1,11,0,1,,-999.0,win,0
ball_mk4_05.lp,10,1,10,0,1,,-19.0,win,0
chimera_selby-c16-02.lp,10,1,11,1,1,705.4,704.2,loss,-0.0017011624610149302
chimera_mgw-c8-507-onc8-02.lp,10,1,8,1,1,494.0,494.0,tie,0.0
chimera_selby-c8-onc8-02.lp,10,0,10,1,1,167.5,167.5,tie,0.0
chimera_k64maxcut-01.lp,10,0,11,1,1,7.9,7.9,tie,0.0
chimera_mgw-c8-507-onc8-02.lp,10,0,10,1,1,492.0,492.0,tie,0.0
chimera_selby-c8-onc8-01.lp,10,1,12,1,1,174.6,174.6,tie,0.0
ball_mk2_30.lp,10,0,10,1,1,0.0,0.0,tie,0
crossdock_15x8.lp,10,0,11,1,1,2147483647.0,2147483647.0,tie,0.0
chimera_selby-c8-onc8-02.lp,10,0,8,1,1,166.9,166.9,tie,0.0
chimera_lga-02.lp,10,1,11,1,1,121.3,121.3,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,1,9,1,1,403.0,403.0,tie,0.0
ball_mk3_10.lp,10,1,10,0,1,,-8.0,win,0
chimera_mis-02.lp,10,1,8,1,1,390.8,390.8,tie,0.0
crossdock_15x8.lp,10,0,8,1,1,16827.0,16827.0,tie,0.0
chimera_mgw-c16-2031-02.lp,10,0,12,1,1,1962.0,1962.0,tie,0.0
chimera_mis-02.lp,10,0,9,1,1,391.8,391.8,tie,0.0
chimera_mis-01.lp,10,1,8,1,1,381.4,381.4,tie,0.0
graphpart_2g-0044-1601.lp,10,1,11,1,1,-919798.0,-919798.0,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,1,8,1,1,392.0,392.0,tie,0.0
ball_mk3_10.lp,10,1,9,0,1,,-9.0,win,0
chimera_mis-02.lp,10,0,11,1,1,394.4,394.4,tie,0.0
chimera_lga-01.lp,10,0,8,1,1,131.1,131.1,tie,0.0
chimera_rfr-01.lp,10,0,8,1,1,1156.3,1155.9,loss,-0.0003459309867680218
ball_mk3_10.lp,10,0,9,0,1,,-1.0,win,0
chimera_mis-02.lp,10,1,11,1,1,394.4,394.4,tie,0.0
chimera_mgw-c16-2031-02.lp,10,1,12,1,1,1962.0,1962.0,tie,0.0
chimera_mgw-c16-2031-02.lp,10,0,8,1,1,1960.0,1960.0,tie,0.0
ball_mk2_30.lp,10,1,12,1,1,0.0,0.0,tie,0
chimera_selby-c8-onc8-01.lp,10,1,11,1,1,175.4,175.4,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,0,11,1,1,405.0,405.0,tie,0.0
chimera_mgw-c16-2031-02.lp,10,0,10,1,1,1957.0,1957.0,tie,0.0
graphpart_2g-0055-0062.lp,10,1,9,1,1,-1116960.0,-1116960.0,tie,0.0
chimera_mis-01.lp,10,0,10,1,1,380.4,380.4,tie,0.0
chimera_selby-c16-01.lp,10,0,10,1,1,698.8,700.6,win,0.0025758443045221357
chimera_mgw-c16-2031-01.lp,10,1,10,1,1,1952.0,1948.0,loss,-0.0020491803278688526
ball_mk4_10.lp,10,1,12,0,1,,-31.0,win,0
ball_mk2_30.lp,10,1,9,1,1,0.0,0.0,tie,0
ball_mk2_30.lp,10,1,11,1,1,0.0,0.0,tie,0
chimera_k64ising-01.lp,10,1,12,1,1,12.8,12.8,tie,0.0
chimera_k64maxcut-02.lp,10,1,12,1,1,12.7,12.7,tie,0.0
chimera_mgw-c8-439-onc8-001.lp,10,1,12,1,1,403.0,403.0,tie,0.0
crossdock_15x8.lp,10,0,10,1,1,2147483647.0,2147483647.0,tie,0.0
chimera_lga-01.lp,10,1,10,1,1,123.5,123.5,tie,0.0
graphpart_2g-0055-0062.lp,10,0,12,1,1,-1237162.0,-1237162.0,tie,0.0
chimera_lga-02.lp,10,1,10,1,1,120.5,120.5,tie,0.0
chimera_k64ising-01.lp,10,1,11,1,1,10.5,10.5,tie,0.0
chimera_mis-02.lp,10,1,9,1,1,391.8,391.8,tie,0.0
chimera_lga-01.lp,10,1,11,1,1,120.1,120.1,tie,0.0
chimera_selby-c16-01.lp,10,0,8,1,1,701.4,700.7,loss,-0.0009980039920158708
chimera_selby-c16-02.lp,10,0,8,1,1,698.4,699.0,win,0.0008591065292096546
chimera_k64ising-01.lp,10,0,11,1,1,10.5,10.5,tie,0.0
ball_mk2_30.lp,10,0,11,1,1,0.0,0.0,tie,0
chimera_selby-c8-onc8-02.lp,10,1,12,1,1,166.9,166.9,tie,0.0
chimera_mis-01.lp,10,1,12,1,1,380.2,380.2,tie,0.0
chimera_mgw-c8-439-onc8-002.lp,10,1,10,1,1,396.0,396.0,tie,0.0
ball_mk3_20.lp,10,1,8,0,1,,-5.0,win,0
chimera_rfr-02.lp,10,1,8,1,1,1124.1,1124.1,tie,0.0
chimera_selby-c8-onc8-02.lp,10,0,11,1,1,167.2,167.2,tie,0.0
graphpart_2g-0055-0062.lp,10,0,10,1,1,-1389952.0,-1389952.0,tie,0.0
chimera_selby-c16-01.lp,10,1,12,1,1,700.8,700.8,tie,0.0
chimera_selby-c16-02.lp,10,1,8,1,1,699.4,699.0,loss,-0.000571918787532138
ball_mk2_30.lp,10,1,10,1,1,0.0,0.0,tie,0
chimera_mgw-c8-507-onc8-01.lp,10,1,8,1,1,493.0,493.0,tie,0.0
chimera_mgw-c16-2031-02.lp,10,1,8,1,1,1960.0,1960.0,tie,0.0
chimera_k64ising-01.lp,10,0,9,1,1,9.7,9.7,tie,0.0
ball_mk3_30.lp,10,1,11,0,1,,-3.0,win,0
ball_mk3_10.lp,10,1,11,0,1,,-9.0,win,0
ball_mk4_10.lp,10,0,10,0,1,,-1516.0,win,0
chimera_selby-c8-onc8-01.lp,10,0,12,1,1,174.6,174.6,tie,0.0
chimera_selby-c16-02.lp,10,1,12,1,1,702.7,701.3,loss,-0.001992315355059187
