instance,sense,new_objective,old_objective,outcome,new_exit_code,old_exit_code,new_wall_seconds,old_wall_seconds
crossdock_15x8.lp,min,16351.0,16351.0,tie,0,0,10.023752,10.019228
st_test1.lp,min,0.0,0.0,tie,0,0,10.012469,10.009978
QPLIB_3838.lp,max,740.0,740.0,tie,0,0,10.060343,10.020147
chimera_lga-02.lp,max,123.9,123.9,tie,0,0,10.707339,10.63532
st_test4.lp,min,-7.0,-7.0,tie,0,0,10.017034,10.012065
nvs23.lp,min,-1125.2,-1125.2,tie,0,0,10.011377,10.009145
graphpart_2g-0055-0062.lp,min,-1116960.0,-1116960.0,tie,0,0,10.014707,10.012669
QPLIB_5980.lp,max,589.0,589.0,tie,0,0,12.056302,12.061492
chimera_selby-c8-onc8-02.lp,max,166.0,166.0,tie,0,0,10.098471,10.075785
QPLIB_3850.lp,max,1186.0,1186.0,tie,0,0,10.050262,10.053148
QPLIB_3738.lp,max,420.0,420.0,tie,0,0,10.018673,10.016647
QPLIB_3883.lp,min,-765.0,-765.0,tie,0,0,10.04504,10.095568
QPLIB_2957.lp,min,3666.0,3666.0,tie,0,0,11.231562,11.906591
QPLIB_6487.lp,min,345016.0,345016.0,tie,0,0,12.01124,12.533805
QPLIB_10042.lp,min,-20.881926,-20.881926,tie,0,0,10.349334,10.568246
chimera_mgw-c8-507-onc8-02.lp,max,494.0,494.0,tie,0,0,10.22654,10.325451
QPLIB_10063.lp,min,-42.515972,-42.515972,tie,0,0,11.254766,10.47461
graphpart_2pm-0055-0055.lp,min,-20.0,-20.0,tie,0,0,10.01286,10.011772
QPLIB_2073.lp,min,7745280.0,7745280.0,tie,0,0,10.400808,10.523371
QPLIB_7154.lp,min,1174.0,1159.0,new loss,0,0,10.15424,10.143048
chimera_k64ising-01.lp,max,12.0,12.0,tie,0,0,10.094045,10.083591
QPLIB_10041.lp,min,0.0,0.0,tie,0,0,10.127554,10.276506
st_test8.lp,min,-29605.0,-29605.0,tie,0,0,10.010643,10.014048
pb351535.lp,min,5115148.0,5115148.0,tie,0,0,11.454905,11.32838
graphpart_2pm-0099-0999.lp,min,-62.0,-62.0,tie,0,0,10.013373,10.028029
chimera_selby-c16-01.lp,max,710.1,710.1,tie,0,0,10.178269,10.284256
graphpart_2g-1010-0824.lp,min,-6960353.0,-6960353.0,tie,0,0,10.023457,10.045914
QPLIB_10070.lp,min,-25.258817,-25.258817,tie,0,0,10.510072,11.040926
QPLIB_3347.lp,min,4015793.0,4015793.0,tie,0,0,12.39929,12.268983
ball_mk3_30.lp,,,,neither feasible,0,0,10.015009,10.008722
graphpart_2pm-0077-0777.lp,min,-38.0,-38.0,tie,0,0,10.02231,10.01763
nvs15.lp,min,1.0,1.0,tie,0,0,10.008826,10.007298
QPLIB_3923.lp,min,91.325,91.325,tie,0,0,10.137984,10.03685
QPLIB_3706.lp,max,680.0,680.0,tie,0,0,10.021194,10.03103
QPLIB_1976.lp,min,-9594.0,-9594.0,tie,0,0,10.053132,10.043278
QPLIB_3822.lp,max,846.0,846.0,tie,0,0,10.21917,10.106769
graphpart_3g-0244-0244.lp,min,-2540313.0,-2540313.0,tie,0,0,10.010082,10.017298
chimera_mgw-c8-439-onc8-001.lp,max,403.0,403.0,tie,0,0,10.087462,10.131019
graphpart_3pm-0244-0244.lp,min,-28.0,-28.0,tie,0,0,10.008351,10.020501
graphpart_2g-0066-0066.lp,min,-2560722.0,-2560722.0,tie,0,0,10.014006,10.00921
QPLIB_3565.lp,max,282.0,282.0,tie,0,0,10.056592,10.049278
QPLIB_10055.lp,min,-1.258548,-1.258548,tie,0,0,10.078923,10.247814
QPLIB_9030.lp,min,526240.0,526240.0,tie,0,0,15.000125,14.569774
QPLIB_10068.lp,min,-31.624223,-31.624223,tie,0,0,11.097079,11.516625
ball_mk4_15.lp,,,,neither feasible,0,0,10.076892,10.075683
graphpart_2pm-0088-0888.lp,min,-54.0,-54.0,tie,0,0,10.018999,10.011921
QPLIB_10050.lp,min,-25.697662,-25.697662,tie,0,0,10.696839,10.168926
QPLIB_10064.lp,min,0.0,0.0,tie,0,0,10.406381,10.698595
QPLIB_3757.lp,min,-511.0,-511.0,tie,0,0,10.159184,10.139657
pb351555.lp,min,4888133.0,4888133.0,tie,0,0,12.830349,13.069265
